graph_family,graph_seed,n,m,mean_degree,budget_mode,budget_value,projection_type,method,amplitude_sigma,amplitude_label,omega_mode,restart_seed,support_source,T_adapt,T_static,adaptive_updates,projection_calls,ode_nfev,runtime_sec,cvxpy_time_sec,cvxpy_calls,cut_raw,cut_rounded,cut_polished,sdp_bound,gw_cut,exact_optimum,exact_status,cut_ratio_exact,active_edges,mean_active_degree,max_active_degree,row_sum_mean,row_sum_max,budget_violation_max,symmetry_error,energy_descent_violations,energy_violations_raw,final_L,L_valid
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,static_budgeted,0.0,ideal,zero,1,graph,50.0,50.0,0,1,1910,1.038872480392456,0.05885481834411621,1,1780.0,1812.0,1844.0,0.0,0.0,,timeout,0.0,2248,22.48,32,14.81335627788692,14.895000000000977,9.769962616701378e-13,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,static_budgeted,0.0,ideal,zero,2,graph,50.0,50.0,0,1,2018,1.096384048461914,0.07978463172912598,1,1792.0,1813.0,1846.0,0.0,0.0,,timeout,0.0,2259,22.59,30,14.815159804298291,14.895000000000412,4.121147867408581e-13,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,random_budgeted,0.0,ideal,zero,0,graph,50.0,50.0,0,1,1838,0.9665884971618652,0.03737497329711914,1,1807.0,1807.0,1817.0,0.0,0.0,,timeout,0.0,2963,29.63,41,13.436569449675435,14.895000000000001,1.7763568394002505e-15,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,random_budgeted,0.0,ideal,zero,1,graph,50.0,50.0,0,1,1898,1.0197279453277588,0.038745880126953125,1,1809.0,1833.0,1860.0,0.0,0.0,,timeout,0.0,2960,29.6,41,13.517048526921682,14.895000000000271,2.717825964282383e-13,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,random_budgeted,0.0,ideal,zero,2,graph,50.0,50.0,0,1,1838,0.9939839839935303,0.036409854888916016,1,1796.0,1829.0,1848.0,0.0,0.0,,timeout,0.0,2950,29.5,41,13.349078212911515,14.895000000000302,3.019806626980426e-13,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,learned_support_random_weights,0.0,ideal,zero,0,hebbian_seed0,50.0,50.0,0,1,1862,0.7146148681640625,0.0018305778503417969,1,1719.0,1719.0,1812.0,0.0,0.0,,timeout,0.0,1719,17.19,25,8.549386469470198,12.892847293033057,-2.0021527069669425,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,learned_support_random_weights,0.0,ideal,zero,1,hebbian_seed0,50.0,50.0,0,1,2018,3.4493908882141113,0.0019290447235107422,1,1719.0,1719.0,1812.0,0.0,0.0,,timeout,0.0,1719,17.19,25,8.715087463903965,14.380271862696565,-0.5147281373034343,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,learned_support_random_weights,0.0,ideal,zero,2,hebbian_seed0,50.0,50.0,0,1,2030,0.7964625358581543,0.0018792152404785156,1,1719.0,1719.0,1812.0,0.0,0.0,,timeout,0.0,1719,17.19,25,8.51013625452591,13.822678347797616,-1.0723216522023833,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,topology_scrambled,0.0,ideal,zero,0,graph,50.0,50.0,100,101,4796,17.726496696472168,15.605103731155396,101,1563.0,1563.0,1813.0,0.0,0.0,,timeout,0.0,1591,15.91,29,14.894999999999463,14.895000000000003,3.552713678800501e-15,0.0,0,0,-1411.040818496085,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,topology_scrambled,0.0,ideal,zero,1,graph,50.0,50.0,100,101,4820,16.20816206932068,14.060779809951782,101,1593.0,1593.0,1793.0,0.0,0.0,,timeout,0.0,1551,15.51,27,14.89499999999938,14.895000000000001,1.7763568394002505e-15,0.0,0,0,-1409.439668222133,False
