sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.5,random_budgeted,0,6,704.0,742.0,760.0,0.0,0.0,2.658452033996582,1.0235690235690236
0.5,hebbian_frobenius,0,6,675.0,675.0,762.0,0.13562483640736703,-0.0930255326596267,22.95326805114746,1.0262626262626262
0.5,hybrid_frobenius,0,6,675.0,675.0,762.0,0.13562483640736703,-0.0930255326596267,25.437097787857056,1.0262626262626262
0.5,oracle_compensation,0,6,702.0,739.0,753.0,1.0,-1.0,1.0146491527557373,1.0141414141414142
0.5,static_budgeted,0,7,708.0,724.0,744.0,0.0,0.0,1.3249967098236084,1.002020202020202
0.5,random_budgeted,0,7,714.0,714.0,745.0,0.0,0.0,1.506617546081543,1.0033670033670035
0.5,hebbian_frobenius,0,7,627.0,627.0,712.0,0.13414178751755884,-0.166643132903046,43.20408487319946,0.958922558922559
0.5,hybrid_frobenius,0,7,627.0,627.0,712.0,0.13414178751755884,-0.166643132903046,42.503161907196045,0.958922558922559
0.5,oracle_compensation,0,7,727.0,736.0,750.0,1.0,-1.0,1.1307144165039062,1.0101010101010102
0.5,static_budgeted,0,8,712.0,717.0,739.0,0.0,0.0,1.0977208614349365,0.9952861952861953
0.5,random_budgeted,0,8,715.0,724.0,755.0,0.0,0.0,1.148404836654663,1.0168350168350169
0.5,hebbian_frobenius,0,8,667.0,667.0,724.0,0.03414377412708663,-0.01508233171548753,91.61350870132446,0.9750841750841751
0.5,hybrid_frobenius,0,8,667.0,667.0,724.0,0.03414377412708663,-0.01508233171548753,91.27228355407715,0.9750841750841751
0.5,oracle_compensation,0,8,742.0,742.0,758.0,1.0,-1.0,1.1375033855438232,1.020875420875421
0.5,static_budgeted,0,9,687.0,708.0,731.0,0.0,0.0,1.4040813446044922,0.9845117845117846
0.5,random_budgeted,0,9,725.0,729.0,750.0,0.0,0.0,1.1283535957336426,1.0101010101010102
0.5,hebbian_frobenius,0,9,671.0,671.0,734.0,0.06318446927631265,-0.10335142669688265,46.87394881248474,0.9885521885521885
0.5,hybrid_frobenius,0,9,671.0,671.0,734.0,0.06318446927631265,-0.10335142669688265,48.72460079193115,0.9885521885521885
0.5,oracle_compensation,0,9,703.0,729.0,744.0,1.0,-1.0,1.2236943244934082,1.002020202020202
1.0,static_budgeted,0,0,670.0,699.0,734.0,0.0,0.0,3.125826358795166,0.9885521885521885
1.0,random_budgeted,0,0,658.0,696.0,741.0,0.0,0.0,1.9254560470581055,0.997979797979798
1.0,hebbian_frobenius,0,0,632.0,642.0,742.0,0.07699748956544537,-0.0796973904127486,92.79341435432434,0.9993265993265993
1.0,hybrid_frobenius,0,0,637.0,637.0,735.0,0.07699748956544537,-0.0796973904127486,93.65027904510498,0.98989898989899
1.0,oracle_compensation,0,0,687.0,698.0,748.0,1.0,-1.0,1.6090779304504395,1.0074074074074073
1.0,static_budgeted,0,1,679.0,690.0,747.0,0.0,0.0,4.882387161254883,1.006060606060606
1.0,random_budgeted,0,1,684.0,700.0,736.0,0.0,0.0,5.103990316390991,0.9912457912457913
1.0,hebbian_frobenius,0,1,615.0,615.0,727.0,0.12270332682890922,-0.15846522075985717,87.84945678710938,0.9791245791245792
1.0,hybrid_frobenius,0,1,615.0,615.0,727.0,0.12270332682890922,-0.15846522075985717,91.97123050689697,0.9791245791245792
1.0,oracle_compensation,0,1,683.0,690.0,758.0,1.0,-1.0,1.5332446098327637,1.020875420875421
1.0,static_budgeted,0,2,670.0,686.0,748.0,0.0,0.0,1.9476454257965088,1.0074074074074073
1.0,random_budgeted,0,2,680.0,707.0,748.0,0.0,0.0,1.8727006912231445,1.0074074074074073
1.0,hebbian_frobenius,0,2,627.0,630.0,730.0,-0.03975533584363362,-0.08792442813080639,89.83423471450806,0.9831649831649831
1.0,hybrid_frobenius,0,2,627.0,630.0,730.0,-0.03975533584363362,-0.08792442813080639,92.51382684707642,0.9831649831649831
1.0,oracle_compensation,0,2,666.0,682.0,751.0,1.0,-1.0,1.2284481525421143,1.0114478114478114
1.0,static_budgeted,0,3,648.0,697.0,747.0,0.0,0.0,4.160506010055542,1.006060606060606
1.0,random_budgeted,0,3,672.0,688.0,735.0,0.0,0.0,2.933896541595459,0.98989898989899
1.0,hebbian_frobenius,0,3,612.0,626.0,722.0,0.04120178280814962,-0.11188752840112424,91.16638922691345,0.9723905723905724
1.0,hybrid_frobenius,0,3,612.0,616.0,726.0,0.04120178280814962,-0.11188752840112424,91.15141415596008,0.9777777777777777
1.0,oracle_compensation,0,3,659.0,677.0,740.0,1.0,-1.0,1.8744614124298096,0.9966329966329966
1.0,static_budgeted,0,4,640.0,700.0,742.0,0.0,0.0,3.484044075012207,0.9993265993265993
1.0,random_budgeted,0,4,699.0,699.0,749.0,0.0,0.0,5.4814159870147705,1.0087542087542087
1.0,hebbian_frobenius,0,4,603.0,603.0,725.0,0.0725454857421711,-0.09398011693432302,88.19253706932068,0.9764309764309764
1.0,hybrid_frobenius,0,4,603.0,603.0,725.0,0.0725454857421711,-0.09398011693432302,93.66525626182556,0.9764309764309764
1.0,oracle_compensation,0,4,657.0,671.0,731.0,1.0,-1.0,1.4160196781158447,0.9845117845117846
1.0,static_budgeted,0,5,673.0,685.0,743.0,0.0,0.0,2.3138062953948975,1.0006734006734006
1.0,random_budgeted,0,5,682.0,711.0,748.0,0.0,0.0,1.9297759532928467,1.0074074074074073
1.0,hebbian_frobenius,0,5,642.0,642.0,730.0,0.10710685295319858,-0.18177742857635393,81.63267922401428,0.9831649831649831
1.0,hybrid_frobenius,0,5,638.0,640.0,727.0,0.10710685295319858,-0.18177742857635393,83.32576942443848,0.9791245791245792
1.0,oracle_compensation,0,5,644.0,678.0,734.0,1.0,-1.0,1.330815076828003,0.9885521885521885
1.0,static_budgeted,0,6,671.0,695.0,744.0,0.0,0.0,2.4530789852142334,1.002020202020202
1.0,random_budgeted,0,6,683.0,724.0,756.0,0.0,0.0,1.9566576480865479,1.018181818181818
1.0,hebbian_frobenius,0,6,631.0,635.0,726.0,0.08117417728425022,-0.13187320699641197,89.1915123462677,0.9777777777777777
1.0,hybrid_frobenius,0,6,631.0,631.0,735.0,0.08117417728425022,-0.13187320699641197,90.3594958782196,0.98989898989899
1.0,oracle_compensation,0,6,654.0,696.0,763.0,1.0,-1.0,1.2957799434661865,1.0276094276094276
1.0,static_budgeted,0,7,681.0,688.0,737.0,0.0,0.0,6.014641284942627,0.9925925925925926
1.0,random_budgeted,0,7,681.0,681.0,732.0,0.0,0.0,8.027206420898438,0.9858585858585859
1.0,hebbian_frobenius,0,7,619.0,619.0,729.0,0.1094600556449837,-0.12479984754582932,48.11144781112671,0.9818181818181818
1.0,hybrid_frobenius,0,7,619.0,619.0,729.0,0.1094600556449837,-0.12479984754582932,51.42069745063782,0.9818181818181818
