sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
1.0,static_budgeted,0,2,670.0,686.0,748.0,0.0,0.0,1.9162321090698242,1.0074074074074073
1.0,hebbian_frobenius,0,2,627.0,630.0,730.0,-0.03975533584363362,-0.08792442813080639,90.30122113227844,0.9831649831649831
1.0,hybrid_frobenius,0,2,627.0,630.0,730.0,-0.03975533584363362,-0.08792442813080639,90.83311247825623,0.9831649831649831
1.0,oracle_compensation,0,2,666.0,691.0,742.0,1.0,-1.0,2.529973268508911,0.9993265993265993
1.0,static_budgeted,0,3,648.0,697.0,747.0,0.0,0.0,3.690728187561035,1.006060606060606
1.0,hebbian_frobenius,0,3,612.0,626.0,722.0,0.04120178280814962,-0.11188752840112424,90.23566007614136,0.9723905723905724
1.0,hybrid_frobenius,0,3,612.0,624.0,745.0,0.04120178280814962,-0.11188752840112424,88.82898497581482,1.0033670033670035
1.0,oracle_compensation,0,3,659.0,665.0,727.0,1.0,-1.0,2.868489980697632,0.9791245791245792
1.0,static_budgeted,0,4,640.0,700.0,742.0,0.0,0.0,3.428659200668335,0.9993265993265993
1.0,hebbian_frobenius,0,4,603.0,603.0,725.0,0.0725454857421711,-0.09398011693432302,86.28425931930542,0.9764309764309764
1.0,hybrid_frobenius,0,4,603.0,603.0,725.0,0.0725454857421711,-0.09398011693432302,93.01705360412598,0.9764309764309764
1.0,oracle_compensation,0,4,657.0,662.0,731.0,1.0,-1.0,2.290363073348999,0.9845117845117846
1.0,static_budgeted,0,5,673.0,685.0,743.0,0.0,0.0,2.293614387512207,1.0006734006734006
1.0,hebbian_frobenius,0,5,642.0,665.0,745.0,0.10710685295319858,-0.18177742857635393,79.73774337768555,1.0033670033670035
1.0,hybrid_frobenius,0,5,638.0,640.0,727.0,0.10710685295319858,-0.18177742857635393,83.85409355163574,0.9791245791245792
1.0,oracle_compensation,0,5,644.0,680.0,736.0,1.0,-1.0,1.2759737968444824,0.9912457912457913
1.0,static_budgeted,0,6,671.0,695.0,744.0,0.0,0.0,2.3503661155700684,1.002020202020202
1.0,hebbian_frobenius,0,6,631.0,631.0,735.0,0.08117417728425022,-0.13187320699641197,86.84976601600647,0.98989898989899
1.0,hybrid_frobenius,0,6,631.0,631.0,735.0,0.08117417728425022,-0.13187320699641197,87.00908708572388,0.98989898989899
1.0,oracle_compensation,0,6,654.0,701.0,763.0,1.0,-1.0,1.2770473957061768,1.0276094276094276
1.0,static_budgeted,0,7,681.0,688.0,737.0,0.0,0.0,5.741957902908325,0.9925925925925926
